init_state,Value
ox  oxx o,-1
ooxx x   ,1
ooxxox   ,1
xo    oxx,0
xo o  oxx,1
x x   oo ,1
x x x oo ,-1
oo x xxxo,-1
x   oxoxo,0
x x oxoxo,0
x xoo x  ,-1
x x  o o ,1
x xx o o ,1
xx  o    ,0
o ooxx  x,-1
o ooxx xx,-1
oxoo xx  ,1
 xooox x ,0
 xooox xx,-1
oxooxx ox,0
 oox xo x,1
 ooxxxo x,1
 oxx o x ,0
   x oxo ,1
 oxxxoox ,0
 x      o,1
 x   x  o,-1
 oox  xx ,-1
 ooxo xx ,1
o  xo  x ,0
o  xox x ,-1
 xoxo   x,-1
 xoxo  ox,0
       ox,1
  x    ox,1
 xo x o x,1
   x   o ,1
   x x o ,-1
 xx o o  ,1
 oxoxxo  ,1
xoxoxxo  ,0
o   x o x,0
o   xxo x,-1
xx x o oo,1
xx xxo oo,-1
xo x  o  ,1
xo x xo  ,-1
x o xo   ,1
xxo xo   ,-1
x ox o ox,1
xxox o ox,1
oxx  o   ,1
oxxx o   ,0
x x oo xo,1
 x oo xx ,-1
 x oo xxo,-1
o xx  o x,0
ooxx  o x,1
  xo  xox,1
 oxo  xox,1
o  x x o ,1
o  xxx o ,1
   x   ox,0
o  x   ox,1
   ox xo ,1
   ox xox,1
 x oxx  o,0
 xooxx  o,1
 xx   o  ,-1
 xx   o o,1
o o    xx,1
o o x  xx,-1
   x  ox ,0
   x  oxo,1
  ox xxoo,1
x ox xxoo,1
  x o  ox,1
x x o  ox,-1
 x x   o ,0
ox x   o ,0
oxoo   xx,1
oxoo  xxx,1
   xooxxo,1
ooxx   ox,1
ooxxx  ox,1
    xox  ,1
o   xox  ,1
 ox  x  o,1
 ox  xx o,-1
oo  xx ox,1
oo xxx ox,1
  oo x xx,-1
  ooox xx,1
    xoxox,1
  o xoxox,1
  ooxo xx,1
  ooxoxxx,1
x ooxx xo,0
 xoxx o  ,1
 xoxx oo ,1
o  o xx x,1
o oo xx x,1
xoxxoo   ,1
xoxxoox  ,1
 oo xx xo,1
 ooxxx xo,1
x xxxo oo,-1
x xxxoooo,-1
xxoo x   ,0
xxoo x  o,0
o x x    ,0
o xox    ,1
    x xoo,1
   xx xoo,1
o  xx o  ,1
 xx o ox ,-1
xox  x  o,-1
xox  xo o,0
  xox ox ,-1
  xox oxo,1
 xxooxox ,-1
 xxooxoxo,1
o xox  x ,-1
o xox ox ,-1
x x oxo o,1
   oxx o ,1
 x oxx o ,-1
xx    o o,1
xx   xo o,-1
  xo  xo ,1
  xo xxo ,1
   oxxoox,1
xxo o  x ,-1
xxo o  xo,-1
xo    xox,-1
xo   ox x,1
xo  oox x,1
 o xxo xo,0
 o xxoxxo,-1
 o  xooxx,1
 ox xooxx,0
 xoo xx o,0
 xooxxx o,0
x xxoooox,1
 xo ox xo,-1
 xo oxxxo,-1
  oo  x x,1
  o  x  x,-1
  o ox  x,0
 o xxoox ,0
x oo  x  ,1
x oox x  ,0
 x  oox  ,0
xx  oox  ,-1
xoo xxx o,0
xoooxxx o,0
   o oxx ,1
 xoo x  x,-1
oxoo x  x,0
o ox xox ,1
o oxxxox ,1
 o xoo xx,1
xo xoo xx,0
  oxo   x,1
o oox  xx,1
  oox  x ,1
x oox  x ,1
  oxo xxo,1
 x x   oo,1
 xxx   oo,-1
 xx  x oo,-1
oxx  x oo,-1
x oox  xo,1
 ooxo x x,1
  oxx  ox,1
 ooxx  ox,1
 o oxox x,1
 o oxoxxx,1
oxo  oxx ,1
  ox  xxo,-1
xxx o oox,1
 x    o  ,1
 x    ox ,-1
 o    xxo,0
x   x o o,0
x x x o o,-1
     xo x,1
     xoox,1
x  x oo  ,0
xx x oo  ,-1
x    oxxo,-1
oxx   o  ,-1
oxx   o x,-1
x ooxx   ,0
x ooxx o ,1
x  x xooo,-1
oxx o o x,1
oxx o oxx,-1
o xo  xxo,1
o xox xxo,1
 x  oooxx,-1
oxxooxox ,-1
o xo  xox,1
oxxo  xox,1
ox  x o x,-1
ox  xoo x,1
x ox o  x,1
x oxoo  x,1
x      ox,0
x     oox,1
x oo xoxx,-1
x oooxoxx,-1
xx xo oxo,-1
xxoxo oxo,-1
     x   ,0
x o      ,1
x o     x,1
 oxo oxx ,1
 oxo oxxx,1
 ox  x xo,0
 oxo x xo,0
oo   x xx,-1
xoox o xx,1
xooxoo xx,1
o  xxx  o,1
 ox   xxo,0
o xo   xx,-1
ooxo   xx,1
 x  xoxoo,1
xx  xoxoo,-1
xox o o x,1
xox oxo x,1
    ox x ,0
 o  ox x ,1
xox    xo,0
xox o  xo,0
x   ox   ,0
x   oxo  ,1
o    x x ,-1
  o xox  ,1
x  oo  x ,0
x xoo  x ,-1
x   o oxx,-1
x o o oxx,-1
 x x oo  ,0
 xxx oo  ,0
x x     o,1
 o  x o x,1
x  oo oxx,-1
 x ox xoo,1
 xxox xoo,1
o x     x,1
ox oxoxox,1
x   o  ox,0
xx   xoo ,-1
xx   xooo,-1
xxoxo   o,1
xxoxo  xo,-1
ox xxoxoo,1
 x  oxoox,1
 xo ox  x,-1
xx o    o,1
xx o  x o,0
  x     o,1
  x   x o,1
       x ,0
    ox  x,0
   oox  x,1
   oxo x ,1
x  oxo x ,1
xxooxx o ,0
xxooxxoo ,1
    xox o,1
xxo     o,-1
xxox    o,-1
xoox  ox ,1
xooxx ox ,1
    oox x,1
  x oox x,-1
  oox  xx,1
xxo  x o ,-1
xxo  xoo ,-1
 xox ox  ,-1
 o oxxxo ,1
 o oxxxox,1
ox x   ox,0
 xxxoxoo ,-1
oxxxoxoo ,1
xxxo oo x,1
x xo ox o,1
x xoxox o,1
 xo  o xx,1
 xoo o xx,1
x  xxoo o,-1
x xxxoo o,-1
xx   ooxo,1
xx x ooxo,-1
 oxx oxo ,1
xoxx oxo ,1
 xx oo  x,-1
 xx ooo x,1
 xoxxoo  ,1
 xoxxoox ,1
xo   oxox,1
  xxooxo ,1
  xxooxox,-1
ox    x o,1
xo  o  x ,1
xo  o  xx,0
 oo oxxxx,1
 ox o   x,1
xooxx   o,1
xooxxx  o,1
oxox ooxx,1
 xo x xo ,0
 xo xoxo ,0
x xx  oo ,-1
xoxx  oo ,-1
 o  xx xo,0
ooxx o xx,0
ooxx ooxx,0
x ooxo x ,1
xxooxo x ,1
ooxxxoxox,1
xx oo xxo,-1
   xox xo,-1
o  xox xo,-1
    o xx ,0
   oo xx ,1
 oo  xx  ,1
   xo xo ,1
 x xo xo ,0
 xxoo ox ,1
 o    xox,1
 ox   xox,-1
xxo  xoox,-1
xo xoxo  ,-1
xo xoxox ,-1
o  x o  x,0
o  x o xx,0
xoxoxx oo,1
  xo x o ,1
oo x x x ,-1
 oo xxxox,-1
 oooxxxox,1
 x xooox ,0
xxoo   ox,1
xxoo x ox,0
o  x ox x,0
o  x oxox,0
  xo oxox,1
 xxo oxox,-1
o xx ox o,1
 o x xxo ,-1
oo x xxo ,1
 o   xxo ,1
 o  xxxo ,1
o  x  x  ,-1
o ox xx o,1
o ox xxxo,-1
x xxo  oo,1
xx  oxoo ,1
x oo  oxx,1
o  xoxoxx,-1
oo xoxoxx,1
 x o oxxo,1
 xoxx oox,1
xxo x o  ,1
xxoox o  ,1
ooxxo  xx,1
   xxoo  ,0
  xxxoo  ,0
oo xoxxx ,-1
oo xoxxxo,-1
x o   oxx,-1
  oxxox  ,-1
  oxxoxo ,1
x  xoo   ,1
xx xoo   ,1
xoo  x  x,-1
xoo ox  x,-1
  oo xxx ,0
o oo xxx ,1
o x  xoxo,-1
x xooo x ,-1
o   x x o,1
o  xx x o,1
xx  o  o ,1
oxxx   o ,-1
oxxx o o ,0
xo xx o  ,1
xooxx o  ,1
oxx xo o ,1
oxx xoxo ,1
oo   x  x,1
oox  x  x,1
xooo x xx,1
xoooox xx,1
   xo ox ,0
    o x x,0
    o xox,0
xx xo o o,1
xxxxo o o,1
x     o  ,1
x  x  o  ,-1
 x x x oo,-1
 x x xooo,-1
x  xoo xo,1
x xxoo xo,1
 o x xx o,1
 xxox  o ,1
    x   o,0
x  ox   o,1
x  ox x o,0
xx   oox ,1
o  xxooxx,0
oxx  xo o,-1
   o  xxo,1
x  o  xxo,-1
xo  xoxox,1
xxo xoo  ,1
ox x o x ,0
   oxoxx ,1
 o oxoxx ,1
  o x xxo,-1
o o x xxo,1
o xo oxx ,1
o xoxoxx ,1
ox xxo   ,0
ox xxoo  ,1
x  x   o ,-1
x ox   o ,1
 xxxoox o,-1
  o  ox x,1
 xx  o o ,1
  ox ox  ,1
o  x xox ,-1
   xo  xo,0
  xxo  xo,-1
ox  o   x,0
ox xo   x,0
o oxxxx o,1
xo   o x ,1
xo   o xx,1
xx oox   ,0
xx ooxo  ,1
   xo o x,0
   xoxo x,-1
  xooo xx,-1
xxooo x  ,0
xxooo xx ,-1
xoxx xo o,-1
xoxxoxo o,0
oo    x x,1
oox   x x,1
oxxox  ox,-1
oxxoxo ox,1
  x  oxo ,1
  xx oxo ,1
 oxxxo   ,0
o ox xoxx,-1
 xx oxoox,1
x   x  oo,1
x   xx oo,-1
x   x   o,0
 o x  xo ,1
 o x  xox,-1
 ox  o  x,1
xox  o  x,-1
 xo o xxo,-1
  oxxxxoo,1
oo xx    ,1
ox   xo  ,-1
 xoox  x ,1
x  xxo oo,1
x x  o ox,1
x x oo ox,1
o x    ox,1
o  x  oxx,-1
 o xox  x,-1
 o xoxo x,1
  oxox ox,-1
  oxoxxox,-1
x o  x ox,-1
 xx  o   ,1
oo x   xx,-1
oo x o xx,1
   xox   ,-1
x oox x o,0
  xxo oox,1
 xxxo oox,1
 oxx   ox,-1
xxoo  x  ,-1
xxoo  xo ,0
xxooxox  ,-1
xxooxoxo ,1
  xxoox  ,0
o xxoox  ,0
oo   xx  ,1
oo  xxx  ,-1
o o xo xx,1
o o xoxxx,1
 xx oo xo,1
 xx ooxxo,-1
x o  xox ,-1
   o x x ,0
 o xxox o,1
 oxxxox o,1
 oo  xxxo,0
 oox xxxo,-1
xo x xoox,-1
x  xoxo o,-1
x o o   x,1
 xxo x  o,-1
 xxoox  o,1
 xx xoo  ,1
 xxoxoo  ,1
 xx  ooxo,1
 xx xooxo,1
o   oxoxx,1
o x oxoxx,1
  xox  ox,1
  xoxo ox,1
 ox  o x ,1
 ox xo x ,0
xxo oo x ,-1
 xoxxo ox,0
o x   o x,1
o x x o x,-1
xoox  x  ,1
 o x oxxo,1
   oxxxoo,1
 x oxxxoo,0
 x  ox o ,1
 xx ox o ,1
x  o  ox ,1
xox o  x ,0
xox o ox ,0
x  xo xo ,1
x x oox o,1
xoox    x,1
xoox   ox,1
x  o xo  ,1
x  oxxo  ,0
x  ox  o ,1
 xox ox o,-1
 xoxxoxo ,-1
xx  o o  ,1
xx  o ox ,-1
   x oxox,0
 o x oxox,1
oo x  x  ,-1
oo x  xx ,-1
xo   xox ,0
xo   xoxo,0
 xxx  o o,-1
oxxx  o o,-1
xoxo o x ,1
  xx o   ,0
  xoxxoxo,-1
xx xox oo,-1
oxo  xx o,1
xx   oxo ,1
xxo  oxo ,1
ox   ox  ,1
oxx  ox  ,-1
oxxx    o,-1
oxxx   oo,-1
ooo xxoxx,-1
x  xxoo  ,-1
oxxxoo   ,0
oxxxoox  ,-1
xxoox xo ,0
xxoox xoo,0
 xox  xoo,1
  o xx ox,1
 oo xx ox,1
  oxx ox ,1
 ooxx ox ,1
 x  o ox ,-1
xxo  o x ,-1
xo xo  ox,-1
x o xox  ,-1
x o xox o,-1
oxox xo x,-1
oxox xoox,1
o   o  xx,1
o x o  xx,1
  ox   ox,1
 x x  o o,-1
 x x  oxo,-1
xoox x  o,1
x   ooxxo,1
xoo  x   ,1
xoox x   ,1
    x x o,0
ooxxxo  x,0
ooxxxo ox,1
  oo  xx ,1
  x  oo x,1
o  xoxx o,-1
xoxxo  xo,0
   xoxoox,1
oxx oooxx,0
  oxoxx  ,-1
  oxoxx o,1
 x  o xo ,1
oxo xox  ,1
xo  ox x ,0
o xo xxox,1
  x  o xo,1
o oxx x  ,-1
 xxx ooox,0
 xxxoooox,1
 o   oxx ,1
 o   oxxx,1
    ox ox,1
  x ox ox,1
o  xo   x,0
o  xo x x,0
oxoxxx  o,1
 o  x xox,1
oo  x xox,1
xoxoo oxx,1
 xo   xo ,0
 xo  xxo ,0
 xxoxoox ,1
  xxox oo,-1
 xxxox oo,-1
xo x x o ,-1
xoox x o ,1
   xxoox ,0
o  xxoox ,1
oxxxx oo ,-1
oxxxx ooo,-1
oxox     ,1
oxox    x,0
oox x oxx,-1
xoox   x ,1
xooxo  x ,1
xooo xx x,1
  x   oxo,1
 xx   oxo,1
xo xoooxx,0
   xo    ,0
   xo x  ,0
 x o  x  ,0
o x  o x ,1
oxx  o x ,-1
o o x xx ,-1
x o x x o,-1
xoo x x o,1
ox xxoxo ,0
xxo  o ox,1
 o o xx x,1
x  oxoxo ,1
x  oxoxox,1
 ox  xoxo,0
xox  xoxo,0
xx xoooxo,1
xxxxoooxo,1
o  xo  xx,0
oo xo  xx,1
   oxxo  ,0
   oxxox ,-1
     x xo,0
   o x xo,0
 xxx o o ,0
x xoxo   ,1
 x xox  o,-1
ox xox  o,-1
o    x xo,1
   x x oo,1
xo oxx  o,0
xo oxx xo,0
ox  o oxx,-1
  xx oo  ,0
  xoo xox,1
xox      ,0
xox   o  ,1
x x xo o ,1
x x xooo ,1
o o oxx x,1
oxo oxx x,0
   xox  o,-1
   xoxx o,-1
xoo x  xo,0
xo oxxox ,0
xoooxxox ,1
o  x oxxo,-1
o o xxx  ,-1
o o xxxo ,1
ox x     ,0
ox x    o,1
  ox o xx,1
xo xoxo x,-1
xxooxx oo,0
oo x    x,1
oo x x  x,-1
oxxo oxox,1
oxxoxoxox,1
  ox  x  ,-1
 xoox xxo,1
xox xxo o,-1
 ox xxoxo,0
xoxo  oxx,1
ox xoox  ,0
  x  xoxo,-1
 o  x x o,1
 ox x x o,1
 xoox xox,0
 oo  x  x,-1
 x o  o x,1
 x ox o x,-1
x  ox xo ,1
 o xo  xx,0
  o xxoxo,1
x o xxoxo,1
 xoxoo  x,1
 xoxoox x,1
 o x     ,1
x o ox ox,-1
xxo ox ox,-1
oo x xox ,1
oo x xoxx,-1
   ox x  ,1
ooxx o x ,1
 o      x,1
 o    x x,1
x xoo  ox,1
xxxoo  ox,1
  xxo  ox,-1
  xx o o ,1
  xxxo o ,0
xxo o    ,0
o ox  xx ,-1
o oxo xx ,1
xo oox  x,1
xoxoox  x,1
ox xoxoox,1
oxxxoxoox,1
xxo xoxo ,-1
  oxxoo x,1
  oxxooxx,1
 x xoo x ,-1
ox xoo x ,0
 oxx ox  ,1
  x oooxx,0
 xx oooxx,-1
ox    xxo,-1
ox o  xxo,1
xox x  o ,1
xoxox  o ,1
xx o  xoo,1
xx o xxoo,0
oxoxo  x ,-1
oxoxox x ,-1
    oo xx,1
    ooxxx,1
oo x xo x,1
o xo  xx ,1
xo ox  xo,0
xoxox  xo,0
 o  xoxxo,1
 ox ox xo,0
oxxx  oxo,-1
oxxxo oxo,-1
x xooxoxo,1
xxxooxoxo,1
xx o   o ,1
xx o x o ,0
x  x  oo ,-1
x  xx oo ,-1
oxoxx  xo,1
oxo   xox,0
 o xo  x ,1
xo xo  x ,0
 oo x  x ,0
 xo  o  x,1
 xox o  x,1
  o  xox ,1
  ox xox ,-1
  xxoxoo ,1
xoox xo  ,1
xoox xo x,-1
xox  oxox,-1
xoxo oxox,1
 xo  xx o,0
xo o ox x,1
x xo x oo,1
xxxo x oo,1
   x xo o,1
  ox x ox,-1
  ox xoox,1
 xo    ox,0
oxox x xo,-1
oxox xoxo,1
      x o,1
ox x ox o,-1
ox xxox o,-1
  xxx oo ,-1
  xxxooo ,0
oxxxo  ox,0
 xo x  o ,0
xxo x  o ,-1
ox  o  xx,-1
 xxo  x o,1
 xxo  xoo,1
xx xo   o,1
xx xo  oo,1
   ox  xo,1
  xo     ,1
  xo  x  ,0
x x o xo ,-1
x x o xoo,1
 oxxoxox ,0
ooxxoxox ,1
 o xxo x ,-1
   oxo xx,1
  x oxxoo,-1
 xx oxxoo,-1
ox    o x,0
ox x  o x,0
xx  ox oo,1
x  oox  x,0
x ooox  x,0
oo oxx  x,1
oo oxxx x,-1
 x   xxoo,1
 x  oxxoo,1
xoxo x o ,1
ox xoxox ,-1
oxoxoxox ,-1
xx xoooox,1
  x o   x,0
 xoo x x ,0
x  oxoox ,1
xoxo  o x,1
xoxo xo x,1
oo x x ox,1
ooxx x ox,1
 o xo x x,-1
 o xoox x,1
xo  o   x,0
o ox xxo ,1
oxox xxo ,0
xxox x oo,-1
xxox xooo,-1
xxo oo  x,-1
xxo oo xx,-1
    x  xo,0
o   x  xo,1
  o   xx ,-1
x  xo   o,1
 xox   ox,0
oxox   ox,0
xo   xo  ,1
  xxoo   ,1
x ox  xo ,1
xoxoo   x,1
xoxoo x x,-1
 xo x   o,1
 xo x  xo,1
 xooxo xx,1
  xxo xoo,1
x xxo xoo,1
xxox  oox,-1
xxoxo oox,-1
x xxoo o ,1
xxoooxx  ,0
xxoooxxo ,0
 o  oxx  ,0
    ox   ,0
 oxx ox o,1
 xoo x xo,1
xxoo x xo,0
x  o x o ,1
x  o x ox,1
o o   xx ,1
oox   xx ,1
oox o xx ,1
x oo o xx,1
x oo oxxx,1
  x o x o,1
   o    x,1
  x o xxo,-1
  x ooxxo,-1
ox x o  x,0
oxx xxo o,-1
x xo oxo ,1
x xo oxox,-1
oox oxxx ,-1
oox oxxxo,-1
  o xx  o,1
  oxxx  o,1
xoo xo xx,1
  x xxoo ,-1
  xoxxoo ,1
  ox xx o,1
o xxoooxx,0
o   oxx x,1
 oox  xox,1
 ooxx xox,-1
 ox  oxxo,1
 ox xoxxo,1
x o  oxox,1
xxo  oxox,1
 oox x x ,-1
 ooxox x ,-1
o xo xxo ,1
   x x  o,-1
 o x   ox,1
xo x   ox,-1
xx  x o o,-1
xx ox o o,1
  x  x oo,-1
  x  xxoo,-1
 o x  oxx,-1
oo x  oxx,0
oo  oxxxx,1
ox x xoox,1
xoxx o xo,0
xoxx ooxo,0
    xo xo,1
  xxo   o,1
 xxxo   o,-1
 o  xoxx ,1
 xox oox ,1
xo x  o x,-1
xo x oo x,1
xxoo o x ,1
xxoo o xx,-1
oxxxo   o,-1
xoo xxo  ,1
oxox x  o,1
 x x ox o,-1
xoxo   ox,1
  x o  x ,0
  x o  xo,0
xx  o x o,1
oo xox xx,-1
x  oox ox,1
xx oox ox,0
oxx o xo ,0
oxx o xox,0
  o  x   ,0
x  x  oox,-1
xo x  oox,1
x   oxxoo,1
xx  oxxoo,1
o    ox x,1
o ox   x ,-1
xoxooo xx,-1
o x   xox,1
o x o  x ,1
  ox o x ,1
x   oxx o,0
o oxoxxox,0
x  x    o,-1
xo x    o,1
  oxxo x ,-1
 oo oxx x,1
   oxox x,1
  ooxox x,1
  x      ,0
    o   x,0
x   o   x,0
     oxox,1
o x x  o ,1
o x xx o ,1
o xxx oo ,1
o xxxxoo ,1
x    o xo,1
xx   o xo,-1
 oooxxx x,-1
 o  ox xx,1
oo  ox xx,1
x  o  x o,1
oxx  xoxo,-1
x   o    ,0
  o  x xo,1
oxxo xxoo,1
oxoxxoxo ,0
o xx o   ,0
o x xo x ,1
o x xo xo,1
 xox  x o,-1
oxox  x o,-1
xx oo   x,-1
xx ooo  x,-1
o x o xox,1
ooxxxo   ,1
xoo    x ,1
  x ooxx ,-1
  xx  oxo,0
o   xxxoo,1
oxo x x  ,0
oxo x x o,1
x o oxxox,-1
o ox x ox,1
o ox xxox,-1
xo xo oxx,-1
xoxox   o,1
xoxoxx  o,0
 xo      ,0
 xo   x  ,0
oxx xo xo,1
x  ox    ,1
x xoo  xo,1
xxxoo  xo,1
    o oxx,0
 x  o oxx,-1
 o xo   x,0
ox  ox   ,0
oxx ox   ,-1
x    x o ,0
xo o  x  ,1
x o x  o ,1
x o xx o ,1
xox  oo x,1
xox xoo x,1
 x  xox o,-1
x    o ox,1
xx   o ox,1
o o x   x,0
o o x x x,-1
o  o x x ,1
  xo  xxo,-1
 oxo  xxo,1
  oo xxox,0
  ooxxxox,0
    xxo o,1
 x  xxo o,-1
ooxxxx  o,1
  xo   x ,0
  xo  ox ,1
  o xoxx ,-1
   xoo x ,1
 x  x xoo,0
 o xoxxo ,-1
 xxooxx o,-1
oxxooxx o,-1
 ooox xx ,1
 ooox xxx,1
   oxoxox,1
x o xx oo,1
xxo xx oo,-1
oo xx  x ,-1
x oo xxo ,0
x ooxxxo ,0
x   xo xo,-1
 o   x x ,0
 oo  x x ,1
o x   xo ,1
o xx  xo ,-1
o  x x ox,1
 x xoox  ,0
o  x x xo,-1
x  o xox ,1
x  ooxox ,1
x o x  xo,-1
x o xo xo,-1
xo xxox o,1
oxox x ox,0
xxoxxooo ,1
xxoxxooox,1
xooxxxoxo,1
 x o xxoo,1
 oxxox xo,-1
 ox  x ox,1
x  x oox ,-1
xoox  o x,1
 ox   ox ,0
oxxox    ,-1
oxxox o  ,-1
x xooo  x,-1
 oo x xx ,-1
 x  xo xo,1
   xooxx ,1
ox  ox ox,1
oxx ox ox,1
 x   xoxo,-1
 x o xoxo,1
o  x  x o,1
xx oxoo  ,1
xx oxoo x,1
oxox   xo,1
oxox   x ,-1
 o o x x ,1
o  ox   x,1
xox xxoo ,-1
 o xoxx  ,-1
x ox xoox,-1
x oxoxoox,-1
