init_state,Value
  ooxxx  ,0
  x ox o ,1
xoxo xoxo,0
 x  xoo x,1
 x  xooox,1
oxoo xx x,0
xoxo oxxo,1
xoxoxoxxo,1
 ox o xxo,0
 xoxxo o ,0
xxoxo  o ,1
xxoxxo oo,-1
o xx   xo,-1
o xxo  xo,-1
 o   o xx,1
 o x o xx,0
x xo  x o,1
x xoo x o,1
xoooxxxxo,0
 oxxo x  ,-1
 xx   xoo,1
oxxo   ox,1
     x o ,1
    xx o ,1
 ooxxooxx,1
xxoo xox ,-1
 oo   xx ,1
xoo   xx ,1
o xxo xo ,-1
o xxoxxo ,-1
 xo x oox,1
oox x    ,1
ooxxx    ,1
 ox   x  ,0
 ox  ox  ,1
   o ox x,1
 ooo x xx,1
 ooo xxxx,1
x xxoox o,1
 xoo xx  ,0
x  x xo o,-1
o o   xxx,1
ooo xxxxo,-1
  x xo xo,1
 ooxx oxx,-1
 oxo   x ,1
 oxx  o x,0
 xox     ,-1
ox o   x ,1
xxo  xo  ,-1
 oxo  xx ,1
xo   ox  ,1
xxoxx o o,-1
xxoxxoo o,-1
o  oxox x,1
ox  oxox ,-1
oxx oxox ,-1
o x ooxx ,1
  x  x  o,-1
xo ox xxo,0
 xoxo x o,1
 xoxo xxo,-1
xx oxoxo ,1
 x  ox ox,0
xoooxx xo,0
xo oxxo  ,1
x x o oxo,1
xo o x x ,0
xooo x x ,1
 oxooxx  ,1
oxx  x  o,-1
o ox oxxx,1
xxo  o  x,-1
 xo  x ox,0
xxoo   x ,-1
xxoo   xo,1
o oxx    ,1
oxoxx    ,1
  xo xo  ,1
  xo xo x,1
oxx  ox o,1
 xx o x o,-1
 xx o xoo,1
  o   x x,1
  o o x x,1
x  oo   x,0
x o  ox  ,1
   o oxxx,1
  o oxxox,0
 o xxo   ,1
xo  xo x ,0
 xoxx  o ,0
 o   xxox,-1
oo   xxox,1
oo  xxxox,-1
xo  oxx o,1
xxx xooo ,1
xoo  ox x,1
ooxx     ,1
 x x  o  ,-1
oo oxx xx,-1
oo x  xox,-1
oo x xxox,-1
o xoo xx ,1
x o x  ox,1
  xo x xo,-1
xx xo o  ,-1
xx xo oo ,1
 x   oxxo,-1
o xxo x  ,-1
 oxxo  xo,0
xox o   x,-1
  xoo xxo,-1
  xooxxxo,-1
x xoox xo,0
x xoxoxo ,1
  x oxxo ,-1
 ox oxxo ,-1
 xxx ooxo,1
 xxxoooxo,1
xoxooox x,-1
o   xox x,1
  ox x   ,-1
  ox xo  ,1
oo xx o x,1
oo xxxo x,1
xo ox ox ,1
xo ox oxx,1
x xo  o x,1
oxx  oxo ,1
oxx  oxox,0
xxox o   ,-1
xxoox   o,1
x o ox   ,0
oxo xxxo ,0
o x x oox,1
oxx x oox,-1
o  o x  x,1
o  oxx  x,-1
o oxxox  ,-1
o oxxox x,-1
  oo xoxx,-1
 xx oo   ,1
x o  oxx ,-1
 xo   oxx,-1
oxo   oxx,1
o  x     ,0
xx o o   ,1
  xxooox ,0
 xoxxx oo,1
 xxo xo  ,-1
oxxo xo  ,-1
 ooxo xxx,1
  o x o x,1
o    xoxx,-1
x ooo x x,1
x oooxx x,0
 xox   o ,0
 xox  xo ,0
  xoox  x,1
 o xxx  o,1
oxo  x  x,-1
oxo ox  x,0
xxox   o ,-1
xxox   oo,1
xoxxx oo ,-1
 xo xx o ,0
 xo xxoo ,1
xxx o oxo,1
x  oo xox,-1
ox x o ox,0
oxxx o ox,0
o  oxxx o,1
oxxo oxxo,1
xox oxox ,0
xo ox  x ,0
x     o x,1
x    oo x,1
 x xooo x,0
xo xox  o,1
xoxxox  o,-1
xxo oox  ,1
xx o xoo ,1
xxxo xoo ,1
 xoxo  x ,-1
xxxoox  o,1
oo oxxxx ,-1
oo oxxxxo,1
     xox ,-1
xox x o  ,0
xooxx xo ,1
oxx xo  o,1
x  o xx o,0
xxxo o xo,1
 oxx oxxo,1
ooxx oxxo,1
xxx  ooxo,1
oxxx oo  ,0
ox oxoxx ,1
ox ox o x,-1
xxooxx  o,0
xoo  xx o,1
xoo  xxxo,0
xoo xxxo ,1
ox oxx  o,1
oxxoxx  o,-1
xx  x ooo,-1
xxooo   x,-1
xxooox  x,-1
oxoxxooxx,1
oxxoxo   ,1
oxxoxo  x,-1
xo    ox ,0
   o xxox,0
o  o xxox,1
xoxxo    ,-1
xoxxo  o ,-1
ox o o xx,1
ox o oxxx,1
 xo o xox,0
o xo xx  ,1
 oooxx  x,1
x xo xoxo,0
x ox x oo,1
oo  x  xx,-1
oo  x oxx,-1
     xo  ,1
x xx o  o,1
o oxxoxox,0
  o xxox ,1
 oox  x  ,1
o  xx o x,0
 ooo xxx ,1
 xxo x o ,1
 xxoox o ,1
xo oxxo x,1
  o x xox,0
o o x xox,0
 x  x o o,1
 x xx o o,-1
xxooox   ,0
o xo xx o,1
o oxxx xo,1
x   oo xx,-1
x   oooxx,-1
xxxox o o,1
o oox xxx,1
xx o  ox ,1
xx o oox ,1
 oxxoxoxo,0
xx o ox  ,-1
xxooox x ,-1
xxooox xo,0
ooxxoox x,1
  x oo xx,-1
   o xxo ,1
 x o xxo ,0
x xx oo  ,0
   x  xoo,1
o  xxxoxo,1
o xx ooxx,0
xo xx   o,1
xo xx  oo,1
 xo  xoxo,1
x xoox o ,1
o  xxo  x,0
o oxxo  x,0
xoox o  x,1
xooxxo  x,1
 o o xxx ,0
 xxo xoox,1
 o x   xo,0
o xx  x o,-1
o xx  xoo,1
o  xoox x,1
o x  x o ,1
   o x  x,0
   o xo x,1
xx o o xo,1
xoxxxo  o,0
oxxooxxox,1
x    xoxo,0
  o xxoox,1
  oxxxoox,1
  ox     ,1
xox x oo ,1
  x xx oo,-1
xoox o x ,1
 xxxxooo ,-1
 xxxxoooo,-1
  xxo o x,0
  xxooo x,0
o x  oxx ,1
 ox  oxx ,1
 ox ooxx ,1
 oooxxoxx,1
 x ox x o,1
ox ox x o,1
o xxx o  ,0
o xxx o o,1
  xxo ox ,0
oxx ooxxo,-1
 o  xxxoo,1
 xxo o  x,-1
o  xoo xx,1
ox xoo xx,0
 oo    xx,1
 oo   xxx,1
  oox xox,1
x oox xox,1
oxoxo   x,0
  ooxx xo,1
  ooxxxxo,0
   xoxxo ,-1
xo    x  ,1
o  ox  x ,1
o  ox xx ,1
oxox xxoo,1
oxxxo o x,0
x oxox  o,1
  x xxooo,-1
xxo   o  ,1
xxox  o  ,-1
o  oxxo x,-1
 ox  xxoo,1
o oxo xxx,1
xox  o x ,0
x  xxo o ,1
    oxx  ,0
   ooxx  ,1
 ox o  x ,1
xx  o   o,1
 x ooxxox,0
xxoo ox  ,-1
   xxo   ,0
x    xoo ,1
 oxo  oxx,1
x  xo o  ,0
xo o  xox,1
xo oxoxx ,1
xoooxoxx ,1
xxoo x o ,0
ox  xxxoo,1
 x o  xo ,1
    o x  ,0
  x  oxxo,-1
 o   xox ,0
  o  xx  ,0
 xxoo x  ,-1
oxo oxxox,0
 xoooxxx ,0
xooxxo xo,-1
 oo xx x ,-1
o x   x  ,1
oox   x  ,1
x oxxo o ,1
 xooxo  x,1
 xooxox x,1
x xx ooo ,1
   o  x  ,1
x x oxxoo,-1
x xooxxoo,1
ooxxo x x,-1
ooxxo xox,-1
x ox ooxx,-1
  xx oox ,0
xoo  xox ,1
xx o  oox,1
 oxox  xo,1
xx x  oo ,-1
xx oxoox ,1
xoo  xoxx,-1
xxoo xo x,-1
  o  x ox,1
ox  xxoo ,1
 xoo xxxo,0
xx xooo  ,1
xxooooxx ,-1
xox xoo  ,1
 ooxx  xo,1
xoo oxxox,-1
ooox xxxo,-1
xo xoo x ,1
 xox xoox,-1
 ox  x   ,1
  x  xo o,-1
 xxox  oo,1
xxooxo   ,1
   xxooxo,1
 x xxooxo,1
 x  ox xo,-1
o x xoo x,0
    xo ox,1
oxx o  xo,-1
 x x ooxo,1
x x ooxxo,-1
     xoxo,1
    xxoxo,1
  x xox o,1
x   xxo o,-1
x   xxooo,-1
xo o xxo ,1
xo o xxox,-1
oxxox oox,-1
oxooxxx o,1
oxooxxxxo,1
 oxx  o  ,1
oooxx xox,-1
xo xxo o ,1
 xox  oxo,1
xx  oxo o,1
   xxo xo,-1
o oxo  xx,1
xo oxoxxo,1
x oo    x,1
 xo  o x ,1
xx  ox  o,0
xxo ox  o,0
xxo  ox o,-1
xxo  o xo,-1
 xoxxoo x,1
 xx  oo  ,1
  xx  oox,1
o  xo xx ,-1
xox   xoo,1
xox  xxoo,-1
 o oxxoxx,-1
  o xx o ,1
 xxo xoo ,1
  x xo ox,1
x oo xo x,1
o x xxo o,1
o xxxxo o,1
ox  oxxox,0
 xxo ox o,1
xx x o  o,-1
xx xoo  o,1
 xxxo  oo,1
 oxox xxo,1
 o x xoox,1
xo  oxox ,0
  xoox xo,0
    oxxox,-1
oxxxoo x ,-1
ox x oo x,0
ox xxoo x,0
ox  x oox,0
ox o x x ,-1
ox oox x ,-1
 oxooxxxo,0
 xo xxo  ,1
oxo xxo  ,1
x ooxo xx,1
 oo xxxxo,-1
 xoo x   ,0
xo  oxx  ,-1
x x   oox,1
o  x xoxo,1
 oo   x x,1
xoxo   xo,0
 x oxxoxo,1
     xx o,0
x     oxo,1
    xx oo,1
 x oxo ox,1
xx oxo ox,1
 xoooxoxx,-1
oxo xo  x,1
o xoxx ox,1
o o xx ox,1
o ox   xx,-1
xxoox x o,-1
xxooxox o,-1
o oxxoxx ,-1
oooxxoxx ,-1
o     xxo,1
o   x xxo,1
o xoox x ,1
 x oo xox,0
 xoxoxoox,-1
 x ox o  ,1
oxx    ox,0
  xo xox ,-1
 oxo xox ,1
  x  xoox,1
ox xo xo ,0
oxxxo xo ,-1
xxoox  o ,1
oxo xx ox,0
oxo xxoox,1
oxxoo oxx,-1
ox  xxoox,-1
xo  xxo o,1
xo  xx o ,1
x  ooxx  ,0
ox x oxo ,0
ox x oxox,0
 ooo xx x,1
xx xooxo ,1
x  ooxxox,-1
x oooxxox,0
  o xxo x,1
o  o xoxx,-1
x oo x ox,1
x oo xxox,0
xoo o xx ,1
xooxo xx ,1
 ooxxoxx ,-1
oox  xoxx,1
x o ooxx ,1
oox oxx  ,1
   x  o  ,0
 x oxox o,1
o   x ox ,1
ox ox  x ,1
ooxxxoxxo,1
o xxx xoo,1
o   x oxx,-1
x o  o  x,1
xoxoo x  ,-1
xoxooxx  ,-1
ooxx xxo ,-1
 x o o x ,1
xx o o x ,-1
x xo oo x,1
oxx  o  x,-1
oxx oo  x,0
xxoxo  ox,-1
  xxxooxo,0
oxxxxooxo,1
    ooxx ,1
  x xoox ,0
oxx    xo,-1
xox   oxo,0
xox x oxo,0
oxx xoo x,-1
   ooxx x,1
o  ooxx x,1
 xx   oo ,1
o  x oxx ,-1
o ox oxx ,1
xxoxoo   ,1
xxo  ooxx,-1
xxoo ooxx,1
ooxx  xox,-1
ooxx oxox,1
x o xoxox,1
o x xo   ,1
x xo ox  ,-1
o ox  xxo,-1
ooxx   xo,1
ooxx  xxo,-1
ox xoox x,0
o    xx  ,0
     o  x,1
oox   xox,1
x xoo xox,-1
 xx  xoo ,-1
o xox   x,-1
x  oxox  ,1
      o x,1
      oxx,-1
x  oox xo,0
xx oxo  o,1
oxox  xo ,0
 o  xox  ,1
 x xo oox,1
xox  o ox,1
xx     oo,1
xx  x  oo,-1
 o x ooxx,0
 o xxooxx,0
xxoxox  o,-1
o  xxo xo,1
o x xxoo ,1
x x  oxo ,1
xox  oxo ,1
xxooo  x ,-1
x ox    o,1
 x  o xox,0
 oxo xxo ,1
oxx ox o ,1
 xxo xxoo,1
ox  o  x ,-1
  oxx o x,1
  xxxo  o,0
  xxxoo o,0
ooox x x ,-1
 x   x o ,0
xooo x  x,1
  o o xx ,1
  oxo xx ,1
ox x  oox,1
o     oxx,-1
xxox oo  ,-1
xxox oox ,-1
xoo xx   ,1
xoo xx  o,1
xxoo  xxo,-1
oo xx ox ,1
ooxxx ox ,0
oxo  xoxx,-1
oxo oxoxx,-1
  xoo  xx,-1
o xoo  xx,1
x  ox  xo,0
x    xo  ,0
x o  xo  ,1
o o ox xx,1
 xoxox   ,-1
 xx oo x ,-1
ooxxo oxx,1
ooxxoxoxx,1
x xo     ,1
x xo    o,1
x xxo oo ,1
oxo o  xx,1
oxo ox xx,-1
 xxoxxoo ,-1
 xxoxxooo,-1
x xooxxo ,-1
xoxooxxo ,-1
  xx xo o,-1
  xx xooo,-1
o   xx xo,1
  ooxx   ,0
 o ox   x,1
 o ox x x,1
xxo xxoo ,-1
xxo xxooo,-1
oxoxx xo ,0
o oxx oxx,-1
x  o xo x,1
x oxoxo  ,-1
oxxx x oo,-1
xx xoo ox,1
 xo   ox ,1
xxo   ox ,-1
oxxo x o ,1
  xox  o ,1
oxo  x   ,1
x oooxx  ,0
 x x  oo ,1
 oxx o ox,1
 oxxxo ox,1
oxoxoxx  ,-1
oxoxoxx o,-1
 xox xoxo,-1
 oxoxx  o,1
 o oxxox ,0
 oxoxxox ,-1
 o xo xxo,1
o xx xo  ,1
 xo xo x ,1
 o  xo  x,1
xo  xo  x,1
oxx o x  ,-1
xo x xo o,1
xo x xoxo,0
 x o x   ,0
 x oox   ,1
o oxx   x,-1
 o  xxoox,1
x  ooxo x,1
        x,0
  o     x,1
  oxx oox,1
o xoxxxo ,1
oox xx xo,1
xo    x o,1
oxo    xx,1
 oxox xox,1
o o  xxxo,-1
 x xo x o,-1
x o  ox x,1
xxoox    ,1
  xx   oo,1
xxoxx  oo,-1
xxoxx ooo,-1
ox xx o  ,1
oxoxx o  ,1
 x oo  xx,-1
ox oo  xx,1
oox xxox ,-1
xxooxxo  ,1
 xxo xo o,1
xo o xxxo,0
oo  xx  x,-1
xxxoo x o,1
  xxooxxo,-1
 oxxooxxo,1
  ox  oxx,-1
  oxo oxx,-1
oxx xxooo,-1
x   x oo ,1
 x  xoo  ,1
  ox xxo ,1
  oxoxxo ,1
 x xox o ,-1
 xoxox o ,0
x o xoxo ,1
xooo  xx ,1
xo   o  x,1
 oxxxoo x,0
ooxxxoo x,0
xxoox  xo,1
x    xxoo,1
ox oxo xx,1
  x xooxo,1
o  xxoxo ,1
ooxox   x,1
ooxoxx  x,1
oxxo xxo ,1
oxx  o ox,0
x ox ox  ,1
 xoo  xx ,1
oxo xxox ,1
 oxx oo x,0
 oxx ooxx,0
o  ox  xx,-1
x xoxo xo,1
o  xx xo ,1
 o x  o x,1
 oxoxxo x,1
x ox   ox,1
x   xo o ,1
x   xo ox,1
  xo  x o,1
  xoox   ,1
 xxoox   ,1
ox o x xo,1
oxxo x xo,-1
x  xooxxo,1
 o x  xxo,-1
xox oox  ,1
xox oox x,-1
  xoxo  x,1
x oo xox ,1
 xoo  x x,0
o o  xxx ,-1
oxo o x x,1
 o x x ox,-1
 oox x ox,1
  xxo o  ,0
 x   o x ,-1
 xxoo xo ,1
xo  xoxxo,-1
 ox  xxo ,-1
xoooxxxo ,1
xo ooxx  ,0
xo ooxx x,-1
  o xxxo ,0
  o xxxoo,1
oxoxx  o ,1
 ox xxoo ,1
 xoxxo   ,-1
 xoxxo  o,-1
oo oxxoxx,-1
xox   ox ,0
xox  oox ,0
o    xxo ,1
xxoxxoo  ,-1
xox    o ,1
oxx oox  ,-1
   o  xox,1
 x x o ox,0
  xxx ooo,-1
ox ooxxx ,-1
 o ox  x ,1
o xox xox,1
ox oxxxo ,0
o o xxxox,-1
ooo xxxox,-1
 o ooxxxx,1
xo xo  xo,1
xx xoxo o,-1
   xxoo x,0
xx   ooox,1
 xx oxoxo,-1
 oo x xxo,-1
   oxx  o,0
x  oxx  o,0
  oxx o  ,1
o  x xxo ,-1
oxoxoox x,1
 ooxxxx o,1
xooooxx x,1
 x    oxo,1
 x ox  ox,0
o x  x  o,1
x  o  o x,1
 oxxoxo  ,1
xx  oo xo,1
 o xxoo x,1
  xx  o o,0
  x x xoo,1
 xo   xxo,-1
oxo   xxo,1
oo xoxx x,-1
oxoxx ox ,1
oo xxo x ,0
oo xxo xx,-1
 x o  x o,1
xo  oxoxx,-1
  o ox xx,-1
x oooxxx ,0
o ox  x  ,-1
x    o x ,0
  xx o  o,1
ox xo o x,0
xoxooxx o,0
xoxooxxxo,0
 x   oox ,1
x  ox ox ,1
o  ox oxx,-1
 x xo o  ,0
 x xo o x,-1
xoo    xx,1
xooo   xx,1
  o xx   ,0
x x oooxx,-1
xoo x    ,1
xxx o  o ,1
 x o x  o,0
 xxo  xo ,1
x  xo ox ,-1
x  xo oxo,0
oxxx ooxo,1
x   o ox ,0
oxox ox x,0
  x o xox,-1
oxoxxo   ,1
oxoxxo x ,1
  oxox xo,-1
x oxxoo  ,1
 o  xxo  ,1
   x   xo,-1
xo x x oo,1
xo xxx oo,1
 xxo oxo ,1
   o o xx,1
xxx oo ox,1
oo ox x x,1
 x o x xo,0
xxo x xoo,-1
xxoooxxxo,0
o oxxx ox,1
xoox xxo ,1
  o x  x ,0
    oxoxx,-1
   ooxoxx,1
xoxo  x  ,-1
x oxx xoo,1
   ox x o,1
x     xoo,1
 ox oxx  ,-1
  oxx xo ,1
x  o  x  ,0
oxoxox   ,-1
 xxxooxoo,1
  o x xo ,1
o x  ooxx,0
oxx xoo  ,1
x   oox  ,1
oxxo   x ,-1
oxxxx o o,-1
o  o   xx,1
o  o x xx,-1
 o o xxox,1
oxoxo xx ,-1
xxo    xo,-1
x    o  x,0
 o  xo xx,1
ox xo  ox,0
x ox     ,1
o   xo  x,1
x  o x   ,0
x oo x   ,0
x xxooxo ,1
xx xoox o,1
 xo  ooxx,1
xxxo ox o,1
 ooxx xxo,-1
 ooxxoxxo,-1
 x xxoo o,1
ox   xoox,1
xox  ox o,1
xoxx ox o,1
xxx ooo x,1
 x o  oxx,-1
 oox xoxx,-1
xx  ooxo ,1
 o  x  xo,0
 x xo xoo,1
ooxxxox  ,1
xo o x ox,1
xoxo x ox,1
 xo xo   ,1
 xo xo  x,1
x  xoxo  ,-1
ooxx  ox ,1
ooxx xox ,1
ooo xx x ,-1
 o xx o  ,1
xxo oxoxo,-1
oo xxx   ,1
oxo xoxx ,1
x   o  x ,0
x oo x xo,0
xxxo o   ,1
xxooxxo o,1
o  x xo  ,1
 ooxx x o,1
o x xooxx,-1
x  xoxoox,-1
ooxx xo  ,1
ooxxxxo  ,1
o x xx  o,1
ox   xx o,-1
xoxx o   ,0
xoxx oo  ,0
x  x o  o,1
 xoo xxox,0
 x  ox  o,0
 xx ox  o,-1
oxoxx xoo,1
xox xooxo,0
 xx  oo x,0
xox ox   ,-1
xox oxo  ,1
xx ox oxo,1
x  oxxo o,0
oo xox  x,1
 x  x oox,0
o  xxo x ,0
oxox xo  ,1
xx oo o x,1
 xxoo    ,1
o x   oxx,-1
x  ooxxo ,0
 xo  x o ,0
oxo  x ox,0
ooxx oxx ,1
o  oxx xo,1
oxx   xo ,0
oo   xxxo,-1
oo  xxxxo,-1
 x xoxo  ,-1
 xoxoxo  ,-1
o xox x  ,1
x  oox x ,0
  o x oxx,1
  oox oxx,1
 xxoo x o,1
   x  oox,1
 o ox xx ,1
o  o xx  ,1
   xoox x,1
  xoxx  o,-1
   ox ox ,1
o  ooxxx ,1
o xoxo x ,1
oxx  oo x,0
 oxxx oox,1
xooxo x x,1
 xxx o  o,1
xooox  xx,1
ox     xo,1
ox  x  xo,1
    xo x ,1
o x o xx ,-1
o xxox ox,1
x  ox  ox,1
x xoo oxx,-1
 xx xoo o,1
ooxoxxxxo,1
   xoxoxo,-1
ooxo x xx,1
oxoxoxxo ,0
xxxo  xoo,1
xxo  ox  ,-1
xo xo xxo,1
xo xxo  o,1
ooxxoxx  ,-1
ooxxoxxo ,-1
 o  x   x,1
oxooox xx,1
oxoooxxxx,1
 x x oxoo,1
xxoo  ox ,1
xxoo     ,1
xo o xx o,0
x oo  x x,1
xxx o xoo,1
o   xx   ,0
xxo o xxo,-1
oo xoxx  ,-1
x xxoooxo,1
xooox xxo,0
ooxooxxxx,1
 ox xx oo,1
 o  xoxox,1
  x x oxo,0
oxo xo xx,1
 xox o ox,1
xo   xx o,0
xxox ooxo,-1
x  ooox x,-1
xx ox   o,1
x ox  o  ,1
oox  x xo,1
xoooxoxxx,1
  o x   x,0
 oo x   x,1
 xoo oxx ,1
x  oxox o,1
xx oxox o,-1
 x oo  x ,-1
 x oox x ,-1
xxoo xo  ,1
x ox  o x,-1
 xo  xo  ,1
 ox xo  x,1
x   oox x,-1
x o oox x,1
xoxoo  xx,-1
xo o  xxo,0
o xxo    ,0
x o    x ,0
 xx o oxo,1
 o xo oxx,0
xo x o   ,1
xo xxo   ,1
 xox  o  ,1
oo x xx  ,-1
ooox xx  ,-1
oxx  xoox,1
oxoxo xox,0
xxoxoxo o,-1
o  ox x  ,1
xo  x oxo,0
xo oxox x,1
xo x oxox,1
oooxxo xx,-1
o x  o xx,0
ox o xxox,0
  x xoxo ,1
xoxox o  ,1
xoxox o x,1
xo      x,0
 oxox   x,1
ooxx xoxo,1
ooxxxxoxo,1
  x o xo ,0
xoo  x ox,1
x xxo oxo,0
 oxxooxx ,1
xxox oo x,-1
xxox ooox,1
xxxo  oxo,1
o    x ox,1
o    xxox,0
    xxxoo,1
 oxxo x o,1
 x    o x,0
xxxo    o,1
  xooox x,-1
 xooxx o ,0
x   o xo ,1
xoxx o ox,-1
x oo xx  ,0
oox x x  ,1
  ox  x o,1
 x o xox ,-1
xooo  x x,1
xooo  xxx,1
 xx o  ox,1
 xx oo ox,1
  xoxoxxo,1
   oxox  ,1
 x o ooxx,1
ox oxo  x,1
xx oxxoo ,-1
  x    xo,0
  x   ox ,0
    ox xo,0
  x  ooxx,-1
 x  x   o,0
xx oox o ,1
xx ooxxo ,0
o ox  x x,-1
xxx xoo o,1
 o x  ox ,0
 x   x oo,1
 x  xx oo,-1
o  xoxx  ,-1
